fold,budget,seed,shot_number,representation_independent_inclusion
0,25,42,74580100300420778,True
0,25,42,74580100300420414,True
0,25,42,216980200200102592,True
0,25,42,340570000200102779,True
0,25,42,98220300300420627,True
0,25,42,216980500200101716,True
0,25,42,81290100300420266,True
0,25,42,92730000300420426,True
0,25,42,50580300200099045,True
0,25,42,199890300200101196,True
0,25,42,328260000300420187,True
0,25,42,168820100300419976,True
0,25,42,50580100200099514,True
0,25,42,81291100300419988,True
0,25,42,328260000300420491,True
0,25,42,340570000200102813,True
0,25,42,168820500300420172,True
0,25,42,28041100300384508,True
0,25,42,319260000300420717,True
0,25,42,157691100300419053,True
0,25,42,317531100200101500,True
0,25,42,216980600200376211,True
0,25,42,319260500300420185,True
0,25,42,87340600200375593,True
0,25,42,95170800300420850,True
0,50,42,74580100300420778,True
0,50,42,74580100300420414,True
0,50,42,216980200200102592,True
0,50,42,340570000200102779,True
0,50,42,98220300300420627,True
0,50,42,216980500200101716,True
0,50,42,81290100300420266,True
0,50,42,92730000300420426,True
0,50,42,50580300200099045,True
0,50,42,199890300200101196,True
0,50,42,328260000300420187,True
0,50,42,168820100300419976,True
0,50,42,50580100200099514,True
0,50,42,81291100300419988,True
0,50,42,328260000300420491,True
0,50,42,340570000200102813,True
0,50,42,168820500300420172,True
0,50,42,28041100300384508,True
0,50,42,319260000300420717,True
0,50,42,157691100300419053,True
0,50,42,317531100200101500,True
0,50,42,216980600200376211,True
0,50,42,319260500300420185,True
0,50,42,87340600200375593,True
0,50,42,95170800300420850,True
0,50,42,193940000200102508,True
0,50,42,311580600200378333,True
0,50,42,38270600300442132,True
0,50,42,38270600300442443,True
0,50,42,74581100300420301,True
0,50,42,48801100300419211,True
0,50,42,332990200300420677,True
0,50,42,93340100300419638,True
0,50,42,50580800200100271,True
0,50,42,48800800300419676,True
0,50,42,328260300300419759,True
0,50,42,127501100300419795,True
0,50,42,48801100300419231,True
0,50,42,95170100300419886,True
0,50,42,199890500200101052,True
0,50,42,199890300200101588,True
0,50,42,95170500300419942,True
0,50,42,50580200200100343,True
0,50,42,157081100300419734,True
0,50,42,157080200300421824,True
0,50,42,52311100300418263,True
0,50,42,311580800200100109,True
0,50,42,340570600200375963,True
0,50,42,319260500300419959,True
0,50,42,157080300300420796,True
0,100,42,74580100300420778,True
0,100,42,74580100300420414,True
0,100,42,216980200200102592,True
0,100,42,340570000200102779,True
0,100,42,98220300300420627,True
0,100,42,216980500200101716,True
0,100,42,81290100300420266,True
0,100,42,92730000300420426,True
0,100,42,50580300200099045,True
0,100,42,199890300200101196,True
0,100,42,328260000300420187,True
0,100,42,168820100300419976,True
0,100,42,50580100200099514,True
0,100,42,81291100300419988,True
0,100,42,328260000300420491,True
0,100,42,340570000200102813,True
0,100,42,168820500300420172,True
0,100,42,28041100300384508,True
0,100,42,319260000300420717,True
0,100,42,157691100300419053,True
0,100,42,317531100200101500,True
0,100,42,216980600200376211,True
0,100,42,319260500300420185,True
0,100,42,87340600200375593,True
0,100,42,95170800300420850,True
0,100,42,193940000200102508,True
0,100,42,311580600200378333,True
0,100,42,38270600300442132,True
0,100,42,38270600300442443,True
0,100,42,74581100300420301,True
0,100,42,48801100300419211,True
0,100,42,332990200300420677,True
0,100,42,93340100300419638,True
0,100,42,50580800200100271,True
0,100,42,48800800300419676,True
0,100,42,328260300300419759,True
0,100,42,127501100300419795,True
0,100,42,48801100300419231,True
0,100,42,95170100300419886,True
0,100,42,199890500200101052,True
0,100,42,199890300200101588,True
0,100,42,95170500300419942,True
0,100,42,50580200200100343,True
0,100,42,157081100300419734,True
0,100,42,157080200300421824,True
0,100,42,52311100300418263,True
0,100,42,311580800200100109,True
0,100,42,340570600200375963,True
0,100,42,319260500300419959,True
0,100,42,157080300300420796,True
0,100,42,98220800300420691,True
0,100,42,328260300300419044,True
0,100,42,234120100300419507,True
0,100,42,328261100300418275,True
0,100,42,331260300200101221,True
0,100,42,331260600200377050,True
0,100,42,168820800300420355,True
0,100,42,87340800200102894,True
0,100,42,219930800300419454,True
0,100,42,28040200300389731,True
0,100,42,38270100300420559,True
0,100,42,193940200200102095,True
0,100,42,153980500200101373,True
0,100,42,64210800300420490,True
0,100,42,157080800300420514,True
0,100,42,328260300300419769,True
0,100,42,174870500200101607,True
0,100,42,93340500300419502,True
0,100,42,38270500300419873,True
0,100,42,216980800200102725,True
0,100,42,216980600200376201,True
0,100,42,93340300300419547,True
0,100,42,87340500200101642,True
0,100,42,153981100200101094,True
0,100,42,216980100200101710,True
0,100,42,216980500200101739,True
0,100,42,340570000200102207,True
0,100,42,64210100300420570,True
0,100,42,168820500300420248,True
0,100,42,57040600300439598,True
0,100,42,174870100200101909,True
0,100,42,168820600300442889,True
0,100,42,328260300300419214,True
0,100,42,168820000300421402,True
0,100,42,74580500300420790,True
0,100,42,50580800200100694,True
0,100,42,52310800300419541,True
0,100,42,328260800300419192,True
0,100,42,234120800300420192,True
0,100,42,174870500200101696,True
0,100,42,38270600300442682,True
0,100,42,147780000300421456,True
0,100,42,168820100300420589,True
0,100,42,328260000300420455,True
0,100,42,38270300300420362,True
0,100,42,28040800300389654,True
0,100,42,216980800200102757,True
0,100,42,153980500200101442,True
0,100,42,93340200300420412,True
0,100,42,44680600300617820,True
0,250,42,74580100300420778,True
0,250,42,74580100300420414,True
0,250,42,216980200200102592,True
0,250,42,340570000200102779,True
0,250,42,98220300300420627,True
0,250,42,216980500200101716,True
0,250,42,81290100300420266,True
0,250,42,92730000300420426,True
0,250,42,50580300200099045,True
0,250,42,199890300200101196,True
0,250,42,328260000300420187,True
0,250,42,168820100300419976,True
0,250,42,50580100200099514,True
0,250,42,81291100300419988,True
0,250,42,328260000300420491,True
0,250,42,340570000200102813,True
0,250,42,168820500300420172,True
0,250,42,28041100300384508,True
