target_block_id,block_e_index,block_n_index,sample_n,spatial_fold,e_min_m,n_min_m,e_max_m,n_max_m,geometry_wkt,crs,grid_size_m,grid_origin_e_m,grid_origin_n_m,fold_seed,fold_algorithm
E119_N645,119,645,21,2,595000,3225000,600000,3230000,"POLYGON ((595000 3225000, 600000 3225000, 600000 3230000, 595000 3230000, 595000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N642,120,642,146,3,600000,3210000,605000,3215000,"POLYGON ((600000 3210000, 605000 3210000, 605000 3215000, 600000 3215000, 600000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N643,120,643,479,1,600000,3215000,605000,3220000,"POLYGON ((600000 3215000, 605000 3215000, 605000 3220000, 600000 3220000, 600000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N644,120,644,544,0,600000,3220000,605000,3225000,"POLYGON ((600000 3220000, 605000 3220000, 605000 3225000, 600000 3225000, 600000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N645,120,645,903,0,600000,3225000,605000,3230000,"POLYGON ((600000 3225000, 605000 3225000, 605000 3230000, 600000 3230000, 600000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N646,120,646,521,3,600000,3230000,605000,3235000,"POLYGON ((600000 3230000, 605000 3230000, 605000 3235000, 600000 3235000, 600000 3230000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N647,120,647,192,2,600000,3235000,605000,3240000,"POLYGON ((600000 3235000, 605000 3235000, 605000 3240000, 600000 3240000, 600000 3235000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E120_N648,120,648,71,0,600000,3240000,605000,3245000,"POLYGON ((600000 3240000, 605000 3240000, 605000 3245000, 600000 3245000, 600000 3240000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N641,121,641,279,0,605000,3205000,610000,3210000,"POLYGON ((605000 3205000, 610000 3205000, 610000 3210000, 605000 3210000, 605000 3205000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N642,121,642,571,1,605000,3210000,610000,3215000,"POLYGON ((605000 3210000, 610000 3210000, 610000 3215000, 605000 3215000, 605000 3210000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N643,121,643,411,3,605000,3215000,610000,3220000,"POLYGON ((605000 3215000, 610000 3215000, 610000 3220000, 605000 3220000, 605000 3215000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N644,121,644,1234,0,605000,3220000,610000,3225000,"POLYGON ((605000 3220000, 610000 3220000, 610000 3225000, 605000 3225000, 605000 3220000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
E121_N645,121,645,1185,2,605000,3225000,610000,3230000,"POLYGON ((605000 3225000, 610000 3225000, 610000 3230000, 605000 3230000, 605000 3225000))",EPSG:32650,5000,0,0,42,sample-count-balanced greedy whole-block assignment; descending block N; SHA256(seed|block_id) tie break
