domain,year,month,N,unusual_n,fraction,unusual_fraction
source,2019,1,3877,758,0.18937136716651198,0.19551199380964662
source,2019,2,1204,0,0.05880916328823328,0.0
source,2019,10,3460,0,0.16900307722366043,0.0
source,2019,11,5750,0,0.28085771503932005,0.0
source,2019,12,6182,0,0.3019586772822742,0.0
source,2020,1,10124,0,0.5000246950165457,0.0
source,2020,10,1102,0,0.05442781646663703,0.0
source,2020,11,751,0,0.037091914851582954,0.0
source,2020,12,8270,726,0.40845557366523433,0.08778718258766627
source,2021,1,10884,0,0.505128324128649,0.0
source,2021,4,2558,0,0.1187172228152411,0.0
source,2021,10,1575,0,0.07309602264816448,0.0
source,2021,11,1431,0,0.0664129577203323,0.0
source,2021,12,5099,727,0.23664547268761313,0.14257697587762305
source,2022,1,11118,2,0.6218816422418615,0.00017988846914912754
source,2022,10,756,0,0.042286609240407204,0.0
source,2022,11,19,0,0.0010627586978409218,0.0
source,2022,12,5985,616,0.3347689898198904,0.10292397660818714
source,2024,1,3652,531,0.26368231046931406,0.1453997809419496
source,2024,7,389,0,0.02808664259927798,0.0
source,2024,8,536,0,0.038700361010830325,0.0
source,2024,12,9273,0,0.6695306859205776,0.0
target,2019,7,17771,0,0.9303701376891262,0.0
target,2019,10,1330,0,0.06962986231087377,0.0
target,2020,4,4462,0,0.17743667236648505,0.0
target,2020,5,20685,0,0.8225633276335149,0.0
target,2021,4,1601,0,0.10986070129691895,0.0
target,2021,5,12972,0,0.8901392987030811,0.0
target,2022,4,2784,0,0.14801424849805944,0.0
target,2022,5,16025,0,0.8519857515019406,0.0
target,2024,10,24685,0,1.0,0.0
