year,collection_size,image_position,image_id,system_index,system_time_start,band_position,band,data_type_json,crs,crs_transform_json,nominal_scale_m,band_names_json
2022,1,0,2022,2022,1640995200000,0,HH,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2022,1,0,2022,2022,1640995200000,1,HV,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2022,1,0,2022,2022,1640995200000,2,angle,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2022,1,0,2022,2022,1640995200000,3,epoch,"{""max"": 6800284800000, ""min"": 1138060800000, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2022,1,0,2022,2022,1640995200000,4,qa,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2023,1,0,2023,2023,1672531200000,0,HH,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2023,1,0,2023,2023,1672531200000,1,HV,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2023,1,0,2023,2023,1672531200000,2,angle,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2023,1,0,2023,2023,1672531200000,3,epoch,"{""max"": 6800284800000, ""min"": 1138060800000, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2023,1,0,2023,2023,1672531200000,4,qa,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2024,1,0,2024,2024,1704067200000,0,HH,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2024,1,0,2024,2024,1704067200000,1,HV,"{""max"": 65535, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2024,1,0,2024,2024,1704067200000,2,angle,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2024,1,0,2024,2024,1704067200000,3,epoch,"{""max"": 6800284800000, ""min"": 1138060800000, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
2024,1,0,2024,2024,1704067200000,4,qa,"{""max"": 255, ""min"": 0, ""precision"": ""int"", ""type"": ""PixelType""}",EPSG:4326,"[0.00022222222222222223, 0, -180, 0, -0.00022222222222222223, 84]",24.73766462072746,"[""HH"", ""HV"", ""angle"", ""epoch"", ""qa""]"
