scope,domain,year,image_count,frozen_sample_n,sampled_n,valid_hh_n,valid_hv_n,qa_land_n,valid_palsar_n,missing_fraction,block_id_hash,qa_class,qa_count
year,source,2019,1.0,22570.0,20621.0,20621.0,20621.0,20463.0,20463.0,0.09335400974745234,,,
block,source,2019,,31.0,,,,,30.0,0.032258064516129004,c06ae9b14bf6e10c3cb2b50d93d4f4b8293e4f5eb5e169cb6f3a7a49b99db044,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,ac600fcb95b98696dd4f1a1306c267bb5ce1341fde8b4eb4d38657fc795cd788,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,3c92c986107dfbde3ff9614cf537577ed94fa15d40cdd942e0089752468f4b3e,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,807e3fc6eff363d23edda4459c3b8a9eddbfcbeeabb6cc43649156cb91808703,,
block,source,2019,,200.0,,,,,197.0,0.015000000000000013,cfe52bfd828cd37698d3d46a834647d1259e827a120d63cf67edd20c151abbb0,,
block,source,2019,,200.0,,,,,192.0,0.040000000000000036,2a2a8faf97e9138790519394232d36927a1f9803f6d24a3b25ea38a11827ad83,,
block,source,2019,,200.0,,,,,194.0,0.030000000000000027,0f95ab57159274787a5de8d6570bdcfaaa30a28311621e5244d6bc8e54a51c34,,
block,source,2019,,200.0,,,,,200.0,0.0,a3fc42b5e41802f12519c3f4d0549f9b47fd5988ea928f4f41b69f67ebb51bcc,,
block,source,2019,,200.0,,,,,200.0,0.0,3daa04a37ee20c48b9f4a061425f09801800310d0bdbe1562c5e56d0efdb0873,,
block,source,2019,,200.0,,,,,200.0,0.0,0c7f782a6883b0e7dd96602c5d5ee5bad1082c995be1fd083fa7a9b948d0cf21,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,bf1ea9217fc36c2e1e31d80c2d663c4dc98aab6a06e743243954f53594506929,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,9eea5483b5532a19ee2db0dced71e09a8ebf8d1084f9181974b40b96ae9dc3c5,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,0aeba9ade7a591f40ca83ca17fe0c529ce88df383be1079ade1b79077f4fbeda,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,4509883a3b35bbfaedd522a56822c57172694539d7a0118ea489857cbeb939ba,,
block,source,2019,,200.0,,,,,197.0,0.015000000000000013,a68d8afc7b52ba0af7b0ef55c75e96029bfae80e3def182ba7d0f8abf0106349,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,cc12075ac47d5dd2f788358561b5f6190500e6313217950c077baff616fe651b,,
block,source,2019,,200.0,,,,,196.0,0.020000000000000018,d481293cc2774e8084d647a76f7792aff7093032bf98585c8c7f04f9be89a075,,
block,source,2019,,200.0,,,,,200.0,0.0,70259620e5540f6f7260d41729c2dbef77e053f5146bff7bb6aacfe163e3c96a,,
block,source,2019,,200.0,,,,,200.0,0.0,67473297e43702a3c8a2e58252f27d20dff65b62f10b40eb4d48c18f121db71d,,
block,source,2019,,200.0,,,,,198.0,0.010000000000000009,ad6026125f5ff4343c6bb21b5415cf070d8fc4370e93172f1152388adb641849,,
block,source,2019,,200.0,,,,,200.0,0.0,5e8be6b2d7e2d419db94054e7478e1a86b013663e897eb65fb1aa49ba050308e,,
block,source,2019,,200.0,,,,,200.0,0.0,6ea1c3dd7f05300fd40057addf8063e622e95708218d76fa3a5980a655630974,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,3c384ba67e04bb163c9b10f315848b5c98ec9b4fe2aebc2e0711d25e1c996858,,
block,source,2019,,200.0,,,,,199.0,0.0050000000000000044,f218a0fa9046c2bfbf6b12ac20b9d015dbefc55c5f63690a0f9638d70235fb37,,
block,source,2019,,200.0,,,,,197.0,0.015000000000000013,391ad2076ffc410c60265e47b50cebcbc92ff81c20a87d91f471ce6e7e80401c,,
