domain,comparison,sample,category,n,value
source,agbd,before,mean,124303,117.1325071299713
source,agbd,before,median,124303,95.12360382080078
source,agbd,before,sd,124303,106.15284085619177
source,agbd,before,p10,124303,10.934976577758787
source,agbd,before,p25,124303,23.274436950683594
source,agbd,before,p50,124303,95.12360382080078
source,agbd,before,p75,124303,177.8869175
source,agbd,before,p90,124303,259.1535036
source,agbd,before,p95,124303,309.61310769999994
source,year_distribution,before,2019,21967,0.17672139851813715
source,year_distribution,before,2020,21091,0.16967410279719716
source,year_distribution,before,2021,21992,0.1769225199713603
source,year_distribution,before,2022,22206,0.17864411961095067
source,year_distribution,before,2023,15263,0.12278866962181122
source,year_distribution,before,2024,21784,0.17524918948054352
source,block_distribution,before,c06ae9b14bf6e10c3cb2b50d93d4f4b8293e4f5eb5e169cb6f3a7a49b99db044,474,0.003813262753111349
source,block_distribution,before,ac600fcb95b98696dd4f1a1306c267bb5ce1341fde8b4eb4d38657fc795cd788,1000,0.008044858128926897
source,block_distribution,before,3c92c986107dfbde3ff9614cf537577ed94fa15d40cdd942e0089752468f4b3e,825,0.006637007956364689
source,block_distribution,before,807e3fc6eff363d23edda4459c3b8a9eddbfcbeeabb6cc43649156cb91808703,1016,0.008173575858989727
source,block_distribution,before,cfe52bfd828cd37698d3d46a834647d1259e827a120d63cf67edd20c151abbb0,1021,0.00821380014963436
source,block_distribution,before,2a2a8faf97e9138790519394232d36927a1f9803f6d24a3b25ea38a11827ad83,1000,0.008044858128926897
source,block_distribution,before,0f95ab57159274787a5de8d6570bdcfaaa30a28311621e5244d6bc8e54a51c34,1045,0.008406876744728608
source,block_distribution,before,a3fc42b5e41802f12519c3f4d0549f9b47fd5988ea928f4f41b69f67ebb51bcc,929,0.007473673201773087
source,block_distribution,before,3daa04a37ee20c48b9f4a061425f09801800310d0bdbe1562c5e56d0efdb0873,1200,0.009653829754712276
source,block_distribution,before,0c7f782a6883b0e7dd96602c5d5ee5bad1082c995be1fd083fa7a9b948d0cf21,1022,0.008221845007763288
