domain,year,image_id,image_position,analysis_scale_m,qa,pixel_count,proportion,earth_engine_catalog_documented_class,jaxa_v24_documented_class,jaxa_v24_meaning,valid_land_class
source,2022,2022,0,250,50,82767,0.022476282548273347,True,True,water,False
source,2022,2022,0,250,100,2329,0.0006324653793773923,True,True,layover,False
source,2022,2022,0,250,150,6,1.6293655114917792e-06,True,True,shadow,False
source,2022,2022,0,250,255,3597313,0.9768896227068378,True,True,land,True
target,2022,2022,0,25,100,677828,0.16521260555693945,True,True,layover,False
target,2022,2022,0,25,150,4361,0.001062942476312299,True,True,shadow,False
target,2022,2022,0,25,255,3420573,0.8337244519667483,True,True,land,True
source,2023,2023,0,250,1,778229,0.23304009266157683,False,True,scansar_land,True
source,2023,2023,0,250,2,3745,0.0011214374522378443,False,True,scansar_layover,False
source,2023,2023,0,250,3,2,5.988985058680076e-07,False,True,scansar_shadow,False
source,2023,2023,0,250,50,65743,0.01968669223564021,True,True,water,False
source,2023,2023,0,250,100,755,0.00022608418596517285,True,True,layover,False
source,2023,2023,0,250,150,1,2.994492529340038e-07,True,True,shadow,False
source,2023,2023,0,250,255,2490989,0.7459247951168212,True,True,land,True
target,2023,2023,0,25,1,3284019,0.800441215074434,False,True,scansar_land,True
target,2023,2023,0,25,2,162347,0.03957018212857147,False,True,scansar_layover,False
target,2023,2023,0,25,3,117653,0.02867654245519054,False,True,scansar_shadow,False
target,2023,2023,0,25,100,98444,0.023994573410442383,True,True,layover,False
target,2023,2023,0,25,150,817,0.00019913419280333415,True,True,shadow,False
target,2023,2023,0,25,255,439481,0.10711835273855826,True,True,land,True
source,2024,2024,0,250,1,1714672,0.38502070527729715,False,True,scansar_land,True
source,2024,2024,0,250,2,87,1.953539881628956e-05,False,True,scansar_layover,False
source,2024,2024,0,250,3,6,1.3472688838820386e-06,False,True,scansar_shadow,False
source,2024,2024,0,250,4,39258,0.008815180307240178,False,True,scansar_ocean_water,False
source,2024,2024,0,250,50,54145,0.012157978952965496,True,True,water,False
source,2024,2024,0,250,100,1188,0.00026675923900864364,True,True,layover,False
source,2024,2024,0,250,150,5,1.1227240699016988e-06,True,True,shadow,False
source,2024,2024,0,250,255,2644093,0.5937173708317185,True,True,land,True
target,2024,2024,0,25,100,680064,0.16575756386610682,True,True,layover,False
target,2024,2024,0,25,150,4313,0.001051242784435757,True,True,shadow,False
target,2024,2024,0,25,255,3418386,0.8331911933494575,True,True,land,True
