shot_number,year,spatial_block_id,spatial_fold,missing_reason
109130200300422075,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109130200300422151,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109131100300421450,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109131100300421696,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740500300422171,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740600300421858,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740600300421932,2020,EPSG5070_50KM_29_23,3,DEM_MASKED
109740800300421078,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740800300421120,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740800300421139,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
109740800300421183,2020,EPSG5070_50KM_29_23,3,DEM_MASKED
110960800300421756,2020,EPSG5070_50KM_29_23,3,DEM_MASKED
111570000300224721,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
111570200300224865,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
111570500300219589,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
111570500300219591,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
111570600300623605,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
111571100300219478,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
112790000300422380,2020,EPSG5070_50KM_29_24,2,DEM_MASKED
112790500300422596,2020,EPSG5070_50KM_29_23,3,DEM_MASKED
112790600300422104,2020,EPSG5070_50KM_29_23,3,DEM_MASKED
115640300200252502,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252280,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252285,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252286,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252292,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252293,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252315,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252316,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252324,2020,EPSG5070_50KM_31_26,0,DEM_MASKED
115640500200252572,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640500200252573,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640500200252574,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640500200252575,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
115640500200252576,2020,EPSG5070_50KM_31_27,4,DEM_MASKED
