check,value,status
frozen_gedi_n,127622,DESCRIPTIVE
dem_valid_n,124303,PASS
aef_valid_n,124303,PASS
conventional_valid_n,124303,PASS
final_common_n,124303,PASS
conventional_missing_rows,0,DESCRIPTIVE
missing_VV,0,DESCRIPTIVE
missing_VH,0,DESCRIPTIVE
missing_VV_minus_VH,0,DESCRIPTIVE
missing_B2,0,DESCRIPTIVE
missing_B3,0,DESCRIPTIVE
missing_B4,0,DESCRIPTIVE
missing_B5,0,DESCRIPTIVE
missing_B6,0,DESCRIPTIVE
missing_B7,0,DESCRIPTIVE
missing_B8,0,DESCRIPTIVE
missing_B8A,0,DESCRIPTIVE
missing_B11,0,DESCRIPTIVE
missing_B12,0,DESCRIPTIVE
missing_NDVI,0,DESCRIPTIVE
missing_EVI,0,DESCRIPTIVE
missing_NDMI,0,DESCRIPTIVE
missing_NBR,0,DESCRIPTIVE
missing_NDRE,0,DESCRIPTIVE
