method,fold,train_n,test_n,test_blocks,r2,rmse,mae
central,0,37927,9468,23,0.5498422573123496,73.89130854368851,44.39716667307481
central,1,38274,9121,22,0.5711218433167633,71.2503997499012,42.84534805212204
central,2,37730,9665,23,0.5010235923647655,76.97995491752658,42.78041044312488
central,3,37812,9583,23,0.6087528126493842,64.18246892076756,42.565793246314804
central,4,37837,9558,23,0.6059869194134218,63.79728555528384,42.937333300821386
aggregate25,0,37927,9468,23,0.5516066889987137,73.74635471986,44.414812007015705
aggregate25,1,38274,9121,22,0.5699055408428555,71.35136161927909,43.05548071621017
aggregate25,2,37730,9665,23,0.498101364361229,77.20504029355303,43.05223467329951
aggregate25,3,37812,9583,23,0.6064672362016614,64.36966556965038,42.773444435493275
aggregate25,4,37837,9558,23,0.6037866305920687,63.9751692802281,43.07291645255494
