representation,observed_agbd_decile,N,observed_mean,prediction_mean,bias,MAE
alphaearth,1,13020,17.173311927764416,122.54490981206607,105.37159788430165,105.41097711007953
alphaearth,2,13019,39.793924890274525,159.5637464791612,119.76982158888671,119.87030702446924
alphaearth,3,13020,66.25602017993216,170.96904667488482,104.71302649495263,104.93116758876339
alphaearth,4,13019,86.98362395996166,176.6340663820954,89.65044242213375,90.23622877999068
alphaearth,5,13020,104.22999080109511,181.95454605076807,77.72455524967295,79.41705383820914
alphaearth,6,13019,120.6137337082273,186.77922091696752,66.16548720874022,69.45021620924669
alphaearth,7,13019,138.33372415561374,191.08452651025422,52.750802354640484,59.2656087091338
alphaearth,8,13020,160.01297444027261,195.30643270230414,35.29345826203153,50.963894099884946
alphaearth,9,13019,192.15677263664614,200.4302934731546,8.27352083650848,47.29137131577422
alphaearth,10,13020,301.7970076543118,198.9172211030722,-102.8797865512396,118.92355009384006
conventional,1,13020,17.173311927764416,128.21222487466898,111.03891294690456,111.24893102427589
conventional,2,13019,39.793924890274525,172.7069035709962,132.91297868072172,133.7448280148024
conventional,3,13020,66.25602017993216,190.65266534352764,124.39664516359548,126.20729108900906
conventional,4,13019,86.98362395996166,198.80983803842847,111.82621407846679,114.58216162569259
conventional,5,13020,104.22999080109511,203.7381989477419,99.50820814664684,103.74317481690841
conventional,6,13019,120.6137337082273,207.52233176876103,86.90859806053375,92.80616027427605
conventional,7,13019,138.33372415561374,212.58676557089638,74.25304141528262,83.00230817380458
conventional,8,13020,160.01297444027261,214.67175807930104,54.65878363902845,70.01888476023741
conventional,9,13019,192.15677263664614,216.91557753729168,24.75880490064551,57.80979003138487
conventional,10,13020,301.7970076543118,217.4690192116129,-84.3279884426989,110.91386001618875
