representation,method,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
alphaearth,zero_shot,0,-1,0,0,130195,-0.5556456255719371,109.7177861225485,84.5763198722335,55.68284560235628
conventional,zero_shot,0,-1,0,0,130195,-1.1165793171087626,127.97907703658507,100.40789331613311,73.59293833091361
alphaearth,bias_only,25,0,42,25,26033,-0.15464582543680483,93.52741098737877,63.639758426355094,-0.23465356553181246
alphaearth,affine,25,0,42,25,26033,0.050758035776038435,84.80139220436173,58.25547577823251,6.374204414780856
alphaearth,local_xgboost,25,0,42,25,26033,-0.07969532112608846,90.44095243241826,64.56175586118133,10.456675203206792
conventional,bias_only,25,0,42,25,26033,-0.5629280495419662,108.8138083365119,77.49682941598334,-32.726976317739776
conventional,affine,25,0,42,25,26033,0.04821662036532948,84.91483614983434,57.47706433671283,-0.9315098995299171
conventional,local_xgboost,25,0,42,25,26033,-0.14430995148666792,93.10786215888031,66.15816176718972,4.529255950218068
alphaearth,bias_only,25,0,43,25,26033,-0.15464699146768668,93.52745821217255,63.6758103787459,0.25277642975384124
alphaearth,affine,25,0,43,25,26033,0.0021249255492974406,86.94660021834912,57.927691361879646,-2.995161635580363
alphaearth,local_xgboost,25,0,43,25,26033,0.0292153578320421,85.75826106067312,56.91888559372419,-7.777514233121114
conventional,bias_only,25,0,43,25,26033,-0.4240467203806695,103.86677243862856,73.6524979476237,4.349311557545868
conventional,affine,25,0,43,25,26033,0.0064636744873646235,86.75737291369495,58.17160998167613,-3.145936859961061
conventional,local_xgboost,25,0,43,25,26033,-0.16242686285006047,93.842017570804,65.1620322215154,-9.88460594906205
alphaearth,bias_only,25,0,44,25,26033,-0.19661104175331268,95.21185368903137,66.76802841725812,17.83186864002971
alphaearth,affine,25,0,44,25,26033,0.03356904912037706,85.56574434381227,59.56729693560123,9.681611592167618
alphaearth,local_xgboost,25,0,44,25,26033,-0.12059182589156503,92.13788579543908,64.06962693864216,-2.9643523951978787
conventional,bias_only,25,0,44,25,26033,-0.42155565304006215,103.77588624358432,73.44315507724747,0.2113287678217451
conventional,affine,25,0,44,25,26033,0.017057926004068302,86.29357870377129,60.07193281916384,7.2136805762873095
conventional,local_xgboost,25,0,44,25,26033,-0.11377976800579082,91.85740659975018,63.21587503880302,-11.04745774616454
alphaearth,bias_only,50,0,42,50,26033,-0.15892654376333115,93.70062172578037,64.26216967931786,5.6995585874296
alphaearth,affine,50,0,42,50,26033,0.0416975898048173,85.20514263137486,59.06306596703608,8.805154885340938
alphaearth,local_xgboost,50,0,42,50,26033,-0.05366105233977647,89.34391540985948,64.24413312213409,13.239542000798515
conventional,bias_only,50,0,42,50,26033,-0.444117955693885,104.59618668179954,73.86279946812486,-13.07564004477835
conventional,affine,50,0,42,50,26033,0.046042483337706996,85.01176533816192,58.36764347970752,4.153068964000539
conventional,local_xgboost,50,0,42,50,26033,-0.0917390647371703,90.9439771616747,63.77424477539066,3.8888849457096817
alphaearth,bias_only,50,0,43,50,26033,-0.16942283415741066,94.12398422503128,65.07828869750328,10.583140492674964
alphaearth,affine,50,0,43,50,26033,-0.05359028530342069,89.34091505682338,61.386078828325154,9.089178194133453
alphaearth,local_xgboost,50,0,43,50,26033,-0.04130585289466748,88.81854865766255,60.98592007904822,4.674494784714182
conventional,bias_only,50,0,43,50,26033,-0.4225888219322882,103.81359090294747,73.55586039659111,2.805663980466995
conventional,affine,50,0,43,50,26033,0.043864780060188124,85.10874285699094,58.202530466610085,3.191955396082513
conventional,local_xgboost,50,0,43,50,26033,-0.09428228069178424,91.04984294942928,63.86668981855161,9.607558055786608
alphaearth,bias_only,50,0,44,50,26033,-0.21969039471688068,96.12565661772958,68.05579893888773,22.19955667312785
alphaearth,affine,50,0,44,50,26033,-0.004668969824478175,87.24208013007997,62.652484637548945,20.83916244404541
alphaearth,local_xgboost,50,0,44,50,26033,-0.0971177960896219,91.16773127096319,63.98834092106926,6.790834634610094
conventional,bias_only,50,0,44,50,26033,-0.4291013169794724,104.05094462253321,73.92347106258683,7.5636744409198915
conventional,affine,50,0,44,50,26033,-0.00783848841939827,87.37958694074715,62.82268257881732,18.304173689953167
conventional,local_xgboost,50,0,44,50,26033,-0.21707437848298516,96.02251517234292,68.6380068326552,12.011241167300655
alphaearth,bias_only,100,0,42,100,26033,-0.15464377191476264,93.52732781872169,63.6423400174269,-0.19875916177936104
alphaearth,affine,100,0,42,100,26033,0.05296973799178184,84.70254237942449,57.27474438347606,0.19894435130542193
alphaearth,local_xgboost,100,0,42,100,26033,0.0025339055991351334,86.92878081887521,58.53281678724518,-2.9033195552018216
conventional,bias_only,100,0,42,100,26033,-0.4239579590104283,103.86353536059657,73.39975193156587,-4.27130797398734
