representation,outer_fold,inner_fold,model,config,R2,RMSE,MAE,Bias,N
dem,0,1,random_forest,rf_sqrt,-0.010523447581450851,111.27217177776545,85.27727587585152,13.373543975942068,14919
dem,0,1,random_forest,rf_half,-0.010523447581450851,111.27217177776545,85.27727587585152,13.373543975942068,14919
dem,0,1,xgboost,xgb_depth6,0.07898566878009627,106.2298482331059,82.0739673403525,12.637927192454912,14919
dem,0,1,xgboost,xgb_depth8,0.06509844007547916,107.02772873361938,82.61869638544583,13.399941439838578,14919
dem,0,2,random_forest,rf_sqrt,-0.006869969695469713,109.95350347626221,80.7436761103039,2.517916749825358,15172
dem,0,2,random_forest,rf_half,-0.006869969695469491,109.95350347626221,80.7436761103039,2.517916749825358,15172
dem,0,2,xgboost,xgb_depth6,0.06989699897088852,105.67880671794552,77.49821665947216,1.3822944910412356,15172
dem,0,2,xgboost,xgb_depth8,0.05450497483009176,106.54964374904961,78.13605791235499,1.6169994844177022,15172
dem,0,3,random_forest,rf_sqrt,-0.021812907645616164,108.84687284230947,82.81710570875843,0.6449191666862504,15306
dem,0,3,random_forest,rf_half,-0.021812907645616164,108.84687284230947,82.81710570875843,0.6449191666862506,15306
dem,0,3,xgboost,xgb_depth6,0.056187457389708095,104.6099841681772,79.75424710304017,-0.40319473283295804,15306
dem,0,3,xgboost,xgb_depth8,0.0375358100109201,105.63857982507172,80.47226263527025,-0.7254118654784538,15306
dem,0,4,random_forest,rf_sqrt,0.03019613115119324,103.00938152555653,80.4971387345424,0.7217225656558571,14603
dem,0,4,random_forest,rf_half,0.03019613115119313,103.00938152555656,80.4971387345424,0.7217225656558568,14603
dem,0,4,xgboost,xgb_depth6,0.10315940730351791,99.05866072115428,77.78924035078316,-0.6023439887571743,14603
dem,0,4,xgboost,xgb_depth8,0.08284519871745533,100.17426058217714,78.54740355028599,-0.22391252227964797,14603
dem,1,0,random_forest,rf_sqrt,0.06250684630589687,105.41848326286612,81.95535707975603,1.2033137630163124,14677
dem,1,0,random_forest,rf_half,0.06250684630589687,105.41848326286612,81.95535707975603,1.2033137630163127,14677
dem,1,0,xgboost,xgb_depth6,0.1306952324167049,101.51231726098382,79.29836378800336,1.0143664566868464,14677
dem,1,0,xgboost,xgb_depth8,0.12083229620986535,102.08656099523157,79.74889054322836,0.7798336994486766,14677
dem,1,2,random_forest,rf_sqrt,-0.011232963371558213,110.59144197194269,81.36944294286346,1.4845349902929095,15250
dem,1,2,random_forest,rf_half,-0.011232963371558213,110.59144197194269,81.36944294286346,1.48453499029291,15250
dem,1,2,xgboost,xgb_depth6,0.06114724858042109,106.56010835825435,78.42837514541235,0.9103520021480888,15250
dem,1,2,xgboost,xgb_depth8,0.04684434399004844,107.36873254442177,79.01566154113928,1.1427926884208819,15250
dem,1,3,random_forest,rf_sqrt,0.012948841577679504,107.33118929018619,80.65147337149601,-2.6127299509472777,15446
dem,1,3,random_forest,rf_half,0.012948841577679615,107.33118929018617,80.65147337149601,-2.6127299509472777,15446
dem,1,3,xgboost,xgb_depth6,0.07208598845052672,104.0662671349807,78.53395432542555,-2.290902444928206,15446
dem,1,3,xgboost,xgb_depth8,0.0555042058150409,104.99197964875216,79.09054376558329,-2.5277556528440073,15446
