contrast,outer_fold,delta_R2,delta_RMSE,delta_MAE,delta_Bias
palsar_l - sentinel1_c,0,0.016271212483526698,-1.0747520407920064,-1.5876586404894084,0.4684616005440878
palsar_l - sentinel1_c,1,0.03769013372016333,-2.473124320368825,-3.367185474263117,-2.6238546448418845
palsar_l - sentinel1_c,2,0.018305614907834306,-1.1692114306320036,-1.3744859056197072,0.6665883065140206
palsar_l - sentinel1_c,3,0.010543543542804068,-0.6706208442740262,-1.4034577573901075,-0.26268298941260104
palsar_l - sentinel1_c,4,0.024005920006933912,-1.5253085992180786,-1.6318368184041887,0.9424505758597754
sentinel1_c_palsar_l - sentinel1_c,0,0.06603590515314667,-4.445295499664255,-4.7254503707088205,0.5231255937006716
sentinel1_c_palsar_l - sentinel1_c,1,0.07720164530693341,-5.1392562949559135,-6.120337504913792,-3.0964353266787654
sentinel1_c_palsar_l - sentinel1_c,2,0.06502175468374119,-4.220977992146956,-4.46322394237599,1.8166632508503087
sentinel1_c_palsar_l - sentinel1_c,3,0.059163087541509396,-3.8282528528778244,-4.646503907397069,-0.7388389051293784
sentinel1_c_palsar_l - sentinel1_c,4,0.07423923248719722,-4.806384367019604,-4.840697874107157,0.5915620694392955
sentinel1_c_palsar_l - palsar_l,0,0.04976469266961997,-3.3705434588722483,-3.137791730219412,0.05466399315658371
sentinel1_c_palsar_l - palsar_l,1,0.039511511586770076,-2.6661319745870884,-2.753152030650675,-0.47258068183688096
sentinel1_c_palsar_l - palsar_l,2,0.046716139775906884,-3.0517665615149525,-3.0887380367562827,1.150074944336288
sentinel1_c_palsar_l - palsar_l,3,0.04861954399870533,-3.157632008603798,-3.243046150006961,-0.4761559157167774
sentinel1_c_palsar_l - palsar_l,4,0.050233312480263304,-3.281075767801525,-3.208861055702968,-0.3508885064204799
palsar_sentinel2 - sentinel1_sentinel2,0,-0.0005435576496853889,0.03990577736627188,-0.024841916855862678,0.4034427068802744
palsar_sentinel2 - sentinel1_sentinel2,1,0.003083055652834621,-0.22316659398397576,0.06833826458247216,0.9682004366495445
palsar_sentinel2 - sentinel1_sentinel2,2,0.003913007475040919,-0.27130323989804594,-0.36688541519890094,-0.5908388915068687
palsar_sentinel2 - sentinel1_sentinel2,3,-0.00478685376464455,0.33671345750923365,0.15771623646271138,-0.47383083597098885
palsar_sentinel2 - sentinel1_sentinel2,4,0.002508739128722126,-0.17800023189869307,-0.21600247981320564,0.34054931565193053
sentinel1_palsar_sentinel2 - sentinel1_sentinel2,0,0.00918438716903619,-0.6772877766889707,-0.7932494482151498,0.3340742979416982
sentinel1_palsar_sentinel2 - sentinel1_sentinel2,1,0.011433962137007647,-0.830631478554892,-0.7385387646429891,0.08936170142768018
sentinel1_palsar_sentinel2 - sentinel1_sentinel2,2,0.01524548776547352,-1.0618307075913407,-1.578425137036085,-2.619607440240661
sentinel1_palsar_sentinel2 - sentinel1_sentinel2,3,0.00933393545202954,-0.6604892864048395,-0.939689907802844,-0.46899361004689233
sentinel1_palsar_sentinel2 - sentinel1_sentinel2,4,0.009905302398385496,-0.7051524367279143,-0.7243206820042829,0.20748233075182027
alphaearth - palsar_l,0,0.27903125674288765,-21.01728601367033,-19.77789988890911,-0.005069773728813232
alphaearth - palsar_l,1,0.247034983848207,-18.235234991700437,-19.47587041289939,-5.300885817348922
alphaearth - palsar_l,2,0.2555477103008694,-18.176508290761788,-20.249408771529787,-0.0775738240407744
alphaearth - palsar_l,3,0.2885122693581277,-20.74722319731137,-19.813997641854236,3.3812711675621334
alphaearth - palsar_l,4,0.2925162482753683,-21.352625713041988,-20.194978690754766,0.8861359293514752
