feature,importance_mean,importance_sd
A40,9.276347987276202,0.4730470971404165
A20,6.32292089637392,0.10791861009156675
A58,5.163823631886546,0.10729130223316528
A36,4.827300509458861,0.14547471572791917
A55,4.4334844875768,0.21111332666659788
A51,3.7342232560639106,0.4471644915281725
A24,3.0729906254095027,0.15644082921737448
A60,2.1808617211437977,0.19127674062423586
A47,2.082704256086589,0.21365442507411986
A39,1.7852622232058466,0.13641029283147066
A07,1.7485037553686822,0.1553820124462329
A28,1.292801371137537,0.0778919491669419
A30,1.2103710594106105,0.17724642362038695
elevation,1.1983802384331554,0.10674543390413585
A34,1.1537285635536079,0.22184144985205279
A61,1.0871942079683534,0.16588702437654929
A02,1.086667691361957,0.07428713683187765
A06,1.0819203859934432,0.1084163319907668
A42,1.071126696933834,0.2700546127755933
A05,1.0078581313784682,0.12761730029540952
A18,0.9434615116972438,0.0872939242631311
A45,0.9126418651536042,0.07972545318122198
A52,0.8679793205759495,0.07994952340501586
A25,0.8106464020794902,0.08517844596607581
A57,0.8041850826030597,0.06761562595852486
A03,0.7686786510005404,0.06053409124221258
A50,0.7495061225297761,0.12457266683953581
A41,0.7478815609693598,0.05033285376619158
A11,0.6734601820381385,0.029117734493301208
A46,0.6692505983386227,0.07114371174053896
A17,0.6641567913812082,0.1416450011710857
A14,0.6499461900980833,0.0874757578746938
A32,0.6304192811660855,0.12620989197126317
A23,0.6145531595985488,0.09916941850020922
A63,0.583130575879872,0.08415260531880837
A00,0.5633178570343815,0.06477839582824362
A12,0.5381064773723437,0.10667021757397423
A59,0.5242858407949654,0.052889488079468513
A13,0.5229630475335852,0.03193633467836631
A29,0.521483548010498,0.06780900804933587
A27,0.48746030038934124,0.03354209500999186
A10,0.48537193400757844,0.06943652265172738
slope,0.47304306920118366,0.06668495056692149
A04,0.42513307315668813,0.047697030568434766
A15,0.42060060136989535,0.07521228665245161
A22,0.4205432451905395,0.03426847694299503
A31,0.4161157171862541,0.09236888643349583
A48,0.4153591144040675,0.03444762820689161
A37,0.402858090236036,0.039086352512463694
A26,0.37028905195803075,0.07648299973497748
A35,0.35169721705969154,0.04421637893587927
A38,0.34558659440977524,0.054146170098223714
A56,0.339972165085328,0.04644517818556968
A19,0.3252074809252079,0.02045473926165747
A53,0.3189099342751419,0.020265893192069853
A21,0.3173964714116323,0.030881131675392935
A08,0.3173128410653831,0.06534343157290694
A49,0.3138425039115518,0.07092757043917255
A33,0.3117680430358149,0.06577698311355873
A01,0.29896089066444914,0.015528580241839254
A16,0.2950048998132857,0.026388257400235534
A62,0.2904719144663247,0.03601557866019237
A44,0.2669154800516367,0.02557864459218806
A43,0.26570092262892897,0.02425163681597357
aspect_sin,0.2511983691767597,0.03627963689190271
A09,0.24257198878204916,0.03511328207281984
A54,0.21295740837802982,0.022472116759041153
aspect_cos,0.2027513680656682,0.02033854240623735
