feature,importance_mean,importance_sd
B12,43.96645742655622,0.6964064393399179
B4,17.95134423418725,0.7919878889024906
B3,16.3552216009128,0.43478776293621857
B5,14.21022192736984,0.28500519515573186
B2,13.980486410534104,0.19003705793529352
elevation,13.30855840235218,0.45525230911757125
B6,11.373496226347038,0.3788915201650404
B11,10.403531877812814,0.3628653655486147
NBR,8.513342657395336,0.24531601348198523
B8A,7.6218910244190825,0.28493057078764317
NDMI,6.575830180988166,0.2521161059995556
B7,6.5644055978435345,0.17872366376959378
B8,3.559994075696659,0.34914940615029016
VH,3.5059288746751918,0.16366164937930458
slope,3.3732696435551817,0.37773828368491774
NDRE,3.1770383554622015,0.10545171238312501
NDVI,2.932831815040953,0.1187833225449574
VV,2.826444384377092,0.1636910272780093
VV_minus_VH,2.2982039012232462,0.0882388264124331
aspect_sin,2.2768264306551997,0.11335167340003043
EVI,1.1241513410136974,0.11027008941098905
aspect_cos,0.9962475818180423,0.11682572282056164
