representation,model,config,split_type,outer_fold,R2,RMSE,MAE,Bias,N
alphaearth,random_forest,rf_half,nested_spatial_cv,0,0.5870496855941869,69.39916122963047,42.692868997917174,0.28763186744992886,24700
alphaearth,xgboost,xgb_depth6,nested_spatial_cv,0,0.5893152839108824,69.20852464776618,42.1064153013815,0.05066738879325823,24700
alphaearth,random_forest,rf_half,nested_spatial_cv,1,0.5663999866496896,70.99507663770642,42.55174203952818,2.763760228516295,24102
alphaearth,xgboost,xgb_depth6,nested_spatial_cv,1,0.5624205858012223,71.32011424051191,42.35367576985785,1.1294721113471895,24102
alphaearth,random_forest,rf_half,nested_spatial_cv,2,0.5355104805460098,73.0645442205472,41.98587917055349,1.3376065762302163,25296
alphaearth,xgboost,xgb_depth6,nested_spatial_cv,2,0.5356103872782456,73.05668609661709,41.503100791802346,0.8629379493187995,25296
alphaearth,random_forest,rf_half,nested_spatial_cv,3,0.5819796131215744,68.20171064631832,42.167583464024474,-0.05626452728349478,25081
alphaearth,xgboost,xgb_depth6,nested_spatial_cv,3,0.5856714776132224,67.89987143927812,41.69178671126378,-0.19995060178142846,25081
alphaearth,random_forest,rf_half,nested_spatial_cv,4,0.6126695318440323,63.59202650856462,41.75303250359861,1.117214759021325,25124
alphaearth,xgboost,xgb_depth6,nested_spatial_cv,4,0.6143421831966636,63.4545697618129,41.326770152320755,1.1810527627513039,25124
conventional,random_forest,rf_half,nested_spatial_cv,0,0.44707884083326854,80.3039533199158,53.43456202780545,0.6177430936155345,24700
conventional,xgboost,xgb_depth6,nested_spatial_cv,0,0.44373477326071,80.5464264372029,53.18472795333415,-0.8187162994352557,24700
conventional,random_forest,rf_half,nested_spatial_cv,1,0.43007938057776207,81.39369675175514,53.60055574768141,4.166488837633707,24102
conventional,xgboost,xgb_depth6,nested_spatial_cv,1,0.4318819469877905,81.26487728679975,53.027862927593425,2.6004241140308033,24102
conventional,random_forest,rf_half,nested_spatial_cv,2,0.38115275876528487,84.33550493841112,54.027888375959705,2.6449908478191593,25296
conventional,xgboost,xgb_depth6,nested_spatial_cv,2,0.384218495474252,84.12634875004284,53.38474951337543,0.1513397337969025,25296
conventional,random_forest,rf_half,nested_spatial_cv,3,0.42576421356916916,79.93586217448173,53.32039000367,-0.7949643509971445,25081
conventional,xgboost,xgb_depth6,nested_spatial_cv,3,0.4282836266881739,79.7603133427018,52.8921107318472,-1.2551683948900607,25081
conventional,random_forest,rf_half,nested_spatial_cv,4,0.4466526890050295,76.0082505269271,53.24102145623427,0.3068951600648688,25124
conventional,xgboost,xgb_depth6,nested_spatial_cv,4,0.45039662956924187,75.75067869829282,52.86363816450883,0.4537718846403766,25124
alphaearth,mean,train_mean,nested_spatial_cv,0,-0.00010200762683076903,108.00092385533868,84.64297350206492,1.0907410119919494,24700
alphaearth,ridge,ridge_alpha10,nested_spatial_cv,0,0.5761123342318822,70.31220389031093,44.99268889074069,0.3006728071271742,24700
alphaearth,mean,train_mean,nested_spatial_cv,1,-0.0004975578232815359,107.8429117642691,84.26116817681061,2.40494621704,24102
alphaearth,ridge,ridge_alpha10,nested_spatial_cv,1,0.5545653833045737,71.9574179848534,44.83926014119618,1.644818010106679,24102
alphaearth,mean,train_mean,nested_spatial_cv,2,-1.0303777310927131e-05,107.2064604053263,81.63873521314137,0.3441255764375851,25296
alphaearth,ridge,ridge_alpha10,nested_spatial_cv,2,0.521084466227942,74.19048014675215,43.962462481749895,-0.049517066812344565,25296
alphaearth,mean,train_mean,nested_spatial_cv,3,-0.0011612900368962453,105.547648242042,82.15779217554046,-3.5947350519685304,25081
alphaearth,ridge,ridge_alpha10,nested_spatial_cv,3,0.5751362058541118,68.75770905966812,43.58987888102512,-1.2321605851249338,25081
alphaearth,mean,train_mean,nested_spatial_cv,4,-2.5620198298437202e-06,102.17917479324129,81.38560859947428,-0.16355095261637442,25124
alphaearth,ridge,ridge_alpha10,nested_spatial_cv,4,0.603592946136346,64.33281002743507,43.27575066471145,-0.011714284959719577,25124
conventional,mean,train_mean,nested_spatial_cv,0,-0.00010200762683076903,108.00092385533868,84.64297350206492,1.0907410119919494,24700
conventional,ridge,ridge_alpha10,nested_spatial_cv,0,0.38862559309541045,84.44208501817403,59.04469086323649,-1.0152153440669,24700
conventional,mean,train_mean,nested_spatial_cv,1,-0.0004975578232815359,107.8429117642691,84.26116817681061,2.40494621704,24102
conventional,ridge,ridge_alpha10,nested_spatial_cv,1,0.36289954562220017,86.05726633011314,59.310908040666966,3.857188070579343,24102
conventional,mean,train_mean,nested_spatial_cv,2,-1.0303777310927131e-05,107.2064604053263,81.63873521314137,0.3441255764375851,25296
conventional,ridge,ridge_alpha10,nested_spatial_cv,2,0.33236169349449174,87.59702228874814,59.040194538056205,3.08205595627669,25296
conventional,mean,train_mean,nested_spatial_cv,3,-0.0011612900368962453,105.547648242042,82.15779217554046,-3.5947350519685304,25081
conventional,ridge,ridge_alpha10,nested_spatial_cv,3,0.35997245076310913,84.39094895608363,58.29649149796656,-5.497832660287983,25081
conventional,mean,train_mean,nested_spatial_cv,4,-2.5620198298437202e-06,102.17917479324129,81.38560859947428,-0.16355095261637442,25124
conventional,ridge,ridge_alpha10,nested_spatial_cv,4,0.3851422270413498,80.12151791598787,58.61292452500262,-0.10000100832605234,25124
