model,config,inner_fold,RMSE,R2,representation,outer_fold
random_forest,rf_sqrt,1,70.5642575809208,0.5705651575514841,alphaearth,0
random_forest,rf_half,1,70.49418438569894,0.5714176268142855,alphaearth,0
xgboost,xgb_depth6,1,70.74015816175505,0.5684215230798467,alphaearth,0
xgboost,xgb_depth8,1,70.78348157709195,0.5678927377467196,alphaearth,0
random_forest,rf_sqrt,2,73.51906929546375,0.5335235140952335,alphaearth,0
random_forest,rf_half,2,73.2994703858035,0.5363060503731674,alphaearth,0
xgboost,xgb_depth6,2,73.3466477563263,0.5357089682638154,alphaearth,0
xgboost,xgb_depth8,2,73.54287113745058,0.5332214211276315,alphaearth,0
random_forest,rf_sqrt,3,67.65259801276441,0.5824573214309994,alphaearth,0
random_forest,rf_half,3,67.51177239875473,0.5841938254545584,alphaearth,0
xgboost,xgb_depth6,3,67.43184688183807,0.5851777679607173,alphaearth,0
xgboost,xgb_depth8,3,67.6263686110509,0.5827810273020513,alphaearth,0
random_forest,rf_sqrt,4,64.22402767638175,0.6002645666701811,alphaearth,0
random_forest,rf_half,4,64.19450776687084,0.6006319507268263,alphaearth,0
xgboost,xgb_depth6,4,64.57762386507754,0.5958508283864454,alphaearth,0
xgboost,xgb_depth8,4,64.81127251424343,0.592921029201597,alphaearth,0
random_forest,rf_sqrt,0,72.0641697989212,0.568343775982332,alphaearth,1
random_forest,rf_half,0,72.03531312009827,0.5686894032514742,alphaearth,1
xgboost,xgb_depth6,0,72.32274126994645,0.5652405910105991,alphaearth,1
xgboost,xgb_depth8,0,72.54128899317573,0.5626090746054773,alphaearth,1
random_forest,rf_sqrt,2,74.91620258315879,0.5193198634389695,alphaearth,1
random_forest,rf_half,2,74.79637842298344,0.5208562742572319,alphaearth,1
xgboost,xgb_depth6,2,75.25522053428391,0.5149595806519562,alphaearth,1
xgboost,xgb_depth8,2,75.4999278312276,0.5118000415289182,alphaearth,1
random_forest,rf_sqrt,3,69.98339889956402,0.5673561940344825,alphaearth,1
random_forest,rf_half,3,69.77354034808698,0.5699470333562636,alphaearth,1
xgboost,xgb_depth6,3,69.44451151867293,0.5739934437984584,alphaearth,1
xgboost,xgb_depth8,3,69.50024279330438,0.5733094037024766,alphaearth,1
random_forest,rf_sqrt,4,63.69882909085895,0.610179059871661,alphaearth,1
random_forest,rf_half,4,63.5231423725122,0.6123264122523088,alphaearth,1
xgboost,xgb_depth6,4,63.92539279129232,0.60740110169697,alphaearth,1
xgboost,xgb_depth8,4,63.78825650172703,0.6090837446673106,alphaearth,1
random_forest,rf_sqrt,0,68.6275812347121,0.5922402343557369,alphaearth,2
random_forest,rf_half,0,68.44284011246761,0.5944326066805867,alphaearth,2
xgboost,xgb_depth6,0,68.3993944270053,0.5949473299437877,alphaearth,2
xgboost,xgb_depth8,0,68.35267959488517,0.5955004198083507,alphaearth,2
random_forest,rf_sqrt,1,73.12230250693459,0.552114885009233,alphaearth,2
random_forest,rf_half,1,73.1516818423176,0.5517549069997126,alphaearth,2
xgboost,xgb_depth6,1,73.24135311610709,0.5506552919719593,alphaearth,2
xgboost,xgb_depth8,1,73.50115558953993,0.5474617977562131,alphaearth,2
random_forest,rf_sqrt,3,68.8552670861468,0.5744082740706398,alphaearth,2
random_forest,rf_half,3,68.6141270389878,0.5773840087186866,alphaearth,2
xgboost,xgb_depth6,3,68.58845674432158,0.5777001724042587,alphaearth,2
xgboost,xgb_depth8,3,68.70989886194896,0.576203407783938,alphaearth,2
random_forest,rf_sqrt,4,63.25732133595803,0.6131404958869511,alphaearth,2
random_forest,rf_half,4,63.07063951834126,0.6154204871478406,alphaearth,2
xgboost,xgb_depth6,4,63.22668580600354,0.6135151173789545,alphaearth,2
xgboost,xgb_depth8,4,63.3113904978908,0.6124788773359023,alphaearth,2
random_forest,rf_sqrt,0,70.40997444439405,0.5792982403161085,alphaearth,3
random_forest,rf_half,0,70.19362802889023,0.5818796213053727,alphaearth,3
xgboost,xgb_depth6,0,70.3672084188952,0.5798091417433211,alphaearth,3
xgboost,xgb_depth8,0,70.31522795104382,0.5804297049465112,alphaearth,3
random_forest,rf_sqrt,1,69.31188001039433,0.5733675708004007,alphaearth,3
random_forest,rf_half,1,69.28274150919445,0.5737262053225318,alphaearth,3
xgboost,xgb_depth6,1,69.9214482768579,0.5658304745526487,alphaearth,3
xgboost,xgb_depth8,1,70.15188010989493,0.5629640769670128,alphaearth,3
random_forest,rf_sqrt,2,71.32684005867011,0.5476321932964167,alphaearth,3
random_forest,rf_half,2,71.24317084387762,0.5486928616173863,alphaearth,3
xgboost,xgb_depth6,2,71.36109541957445,0.5471975814863337,alphaearth,3
xgboost,xgb_depth8,2,71.7882350706848,0.5417607617768065,alphaearth,3
random_forest,rf_sqrt,4,63.98419639585631,0.6109807862039439,alphaearth,3
random_forest,rf_half,4,63.93473919893213,0.6115819460263257,alphaearth,3
xgboost,xgb_depth6,4,64.11548946265223,0.6093826438190555,alphaearth,3
xgboost,xgb_depth8,4,64.05429679692676,0.6101279086801485,alphaearth,3
random_forest,rf_sqrt,0,69.62129520991257,0.5803434667410317,alphaearth,4
random_forest,rf_half,0,69.41981489746442,0.5827688793661103,alphaearth,4
xgboost,xgb_depth6,0,69.40117303172954,0.5829929341897238,alphaearth,4
xgboost,xgb_depth8,0,69.68092273393732,0.5796243248314266,alphaearth,4
random_forest,rf_sqrt,1,71.0165758454077,0.5650024292868279,alphaearth,4
random_forest,rf_half,1,70.92254311876273,0.5661536232655795,alphaearth,4
xgboost,xgb_depth6,1,71.54023131940241,0.5585636878918301,alphaearth,4
xgboost,xgb_depth8,1,71.9319547387521,0.5537162235038845,alphaearth,4
random_forest,rf_sqrt,2,72.32200319093508,0.5430028657835153,alphaearth,4
random_forest,rf_half,2,72.07783761110741,0.5460833836971477,alphaearth,4
xgboost,xgb_depth6,2,71.95102572831496,0.5476791969480772,alphaearth,4
xgboost,xgb_depth8,2,72.05580249692701,0.5463608774709514,alphaearth,4
random_forest,rf_sqrt,3,66.3543513815183,0.5946846154956487,alphaearth,4
random_forest,rf_half,3,66.15584800749954,0.5971060430071804,alphaearth,4
xgboost,xgb_depth6,3,65.84003402796283,0.6009435219428059,alphaearth,4
xgboost,xgb_depth8,3,66.23606161392976,0.5961284372257791,alphaearth,4
random_forest,rf_sqrt,1,81.50467878841668,0.427081553747252,conventional,0
random_forest,rf_half,1,81.252559145717,0.4306205061294962,conventional,0
xgboost,xgb_depth6,1,81.04107760392537,0.43358057411075446,conventional,0
xgboost,xgb_depth8,1,81.81179777835422,0.4227557740535395,conventional,0
random_forest,rf_sqrt,2,84.26052438291765,0.3872574059125916,conventional,0
random_forest,rf_half,2,84.06563941066852,0.3900885353998633,conventional,0
xgboost,xgb_depth6,2,84.13680705648201,0.38905542992326836,conventional,0
xgboost,xgb_depth8,2,84.3476143644794,0.3859901145099698,conventional,0
random_forest,rf_sqrt,3,79.421591747751,0.42454802053648544,conventional,0
random_forest,rf_half,3,79.11597001931376,0.4289682856407925,conventional,0
xgboost,xgb_depth6,3,78.93173336985022,0.4316247019074638,conventional,0
xgboost,xgb_depth8,3,79.39245956066084,0.4249700997160133,conventional,0
random_forest,rf_sqrt,4,76.4542891348261,0.4335243061701862,conventional,0
random_forest,rf_half,4,76.09360073739276,0.43885662302031125,conventional,0
xgboost,xgb_depth6,4,76.3141489090974,0.43559909557585974,conventional,0
xgboost,xgb_depth8,4,76.63283983432153,0.430875331503513,conventional,0
random_forest,rf_sqrt,0,83.19610014786176,0.42468569886890717,conventional,1
random_forest,rf_half,0,83.0632229197335,0.4265219657428634,conventional,1
xgboost,xgb_depth6,0,83.31932164063474,0.4229802442824445,conventional,1
xgboost,xgb_depth8,0,83.75933266531622,0.41686964565003515,conventional,1
