asset_id,agbd_nonnegative,agbd_se_nonnegative,algorithm_run_flag_eq_1,all_intersecting_shots,degrade_flag_eq_0,l4_quality_flag_eq_1,required_fields_nonnull,year
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019108124143_O01967_02_T02494_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019109193528_O01987_03_T00632_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019110201828_O02003_03_T01918_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019110123502_O01998_02_T04759_02_002_02_V002,0,0,238,12551,0,0,238,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019113113840_O02044_02_T01194_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019114183224_O02064_03_T05177_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019112183906_O02033_03_T04182_02_002_02_V002,1594,1594,44562,47114,1594,4068,44562,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019115095917_O02074_02_T05034_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019114104858_O02059_02_T02479_02_002_02_V002,0,0,1736,65034,0,0,1736,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019117095234_O02105_02_T01760_02_002_02_V002,0,0,0,7652,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019117173600_O02110_03_T00189_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019116165301_O02094_03_T01902_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019111114521_O02013_02_T01775_02_002_02_V002,13306,13306,67585,78582,13306,13306,67585,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019111192847_O02018_03_T04473_02_002_02_V002,12,12,34151,35236,12,4892,34151,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019120085608_O02151_02_T02464_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019118164618_O02125_03_T04167_02_002_02_V002,0,0,27483,30096,0,986,27483,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019121154951_O02171_03_T03448_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019122071642_O02181_02_T03305_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019115174243_O02079_03_T03463_02_002_02_V002,0,0,25428,73682,0,2833,25428,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019118090252_O02120_02_T04315_02_002_02_V002,16371,16371,76832,82108,16371,16371,76832,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019124070956_O02212_02_T00031_02_002_02_V002,36,36,1019,1921,36,36,1019,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019123141024_O02201_03_T00173_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019119155635_O02140_03_T05452_02_002_02_V002,0,0,44199,50199,0,6865,44199,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019121080625_O02166_02_T05019_02_002_02_V002,5093,5093,45090,58671,5093,5093,45090,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019128130705_O02278_03_T00449_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019124145322_O02217_03_T04152_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019122150008_O02186_03_T04733_02_002_02_V002,0,0,61694,78732,0,12674,61694,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019127061326_O02258_02_T00735_02_002_02_V002,0,0,0,0,0,0,0,2019
LARSE/GEDI/GEDI04_A_002/GEDI04_A_2019125140338_O02232_03_T05437_02_002_02_V002,0,0,10962,23980,0,1202,10962,2019
