distance_decile,N,distance_min,distance_max,MAE,RMSE,spearman_rho_all,spearman_pvalue_all
1,13021.0,0.4868852198123932,0.6721400022506714,87.09378128778756,111.95956567022411,0.022074318178835043,1.6406576780227828e-15
2,13018.0,0.6721460819244385,0.7039915919303894,85.35554133606917,111.13900466130497,0.022074318178835043,1.6406576780227828e-15
3,13020.0,0.7039928436279297,0.7258860468864441,83.2738205686659,109.66552140252608,0.022074318178835043,1.6406576780227828e-15
4,13019.0,0.725886881351471,0.7442464828491211,82.44516137481521,105.73509011366154,0.022074318178835043,1.6406576780227828e-15
5,13020.0,0.7442487478256226,0.7613263726234436,83.1404280104658,109.72925724893551,0.022074318178835043,1.6406576780227828e-15
6,13019.0,0.7613278031349182,0.7778457403182983,82.28013180608372,106.24993857434661,0.022074318178835043,1.6406576780227828e-15
7,13019.0,0.7778462767601013,0.7950396537780762,83.60292589266189,110.62107889194029,0.022074318178835043,1.6406576780227828e-15
8,13020.0,0.7950405478477478,0.8142529726028442,83.79299321807255,110.67815109451712,0.022074318178835043,1.6406576780227828e-15
9,13019.0,0.8142549395561218,0.8394964337348938,85.12712691601749,109.57883915657051,0.022074318178835043,1.6406576780227828e-15
10,13020.0,0.839497983455658,0.9964694976806641,89.6508421556292,111.63695335933993,0.022074318178835043,1.6406576780227828e-15
