representation,budget,fold,seed,bias_correction,affine_intercept,affine_slope
alphaearth,25,0,42,-56.35355318120606,71.27635694152914,0.30427022976869755
conventional,25,0,42,-106.40402518120605,70.3979132818622,0.24281178200374517
alphaearth,25,0,43,-55.86612318592041,-2.166770885076745,0.6726195604783717
conventional,25,0,43,-69.32773730592041,25.5766064650333,0.4652944545210527
alphaearth,25,0,44,-38.28703097564453,94.08618770670759,0.19215406120556217
conventional,25,0,44,-73.46572009564453,111.58438712557265,0.07027830731921672
alphaearth,50,0,42,-50.41934102824464,84.62634856171711,0.24149849001191018
conventional,50,0,42,-86.75268890824462,74.74668706967822,0.24665397557080515
alphaearth,50,0,43,-45.53575912299927,-11.046411415654724,0.7931379742667001
conventional,50,0,43,-70.87138488299928,62.69853546697939,0.30454776785488574
alphaearth,50,0,44,-33.919342942546386,63.263585749006054,0.4334909323650674
conventional,50,0,44,-66.11337442254639,112.74779774499348,0.12211509637918293
alphaearth,100,0,42,-56.31765877745361,74.04303058728131,0.2528645497253351
conventional,100,0,42,-77.94835683745362,80.47884986110657,0.19215691972447158
alphaearth,100,0,43,-54.98957144898316,35.80483806798119,0.48700045661864366
conventional,100,0,43,-77.34286436898316,79.61193281539786,0.21263006923470423
alphaearth,100,0,44,-40.909252221643065,45.69897732015828,0.5059588461887756
conventional,100,0,44,-75.92784048164306,103.00747436196988,0.14924083364030147
alphaearth,250,0,42,-54.603405804165035,67.93794937506556,0.3144635003669931
conventional,250,0,42,-69.18328888816502,68.9221573378414,0.2856579310235302
alphaearth,250,0,43,-54.17521421466992,47.49231970799714,0.41963822435826187
conventional,250,0,43,-71.67225751866991,70.25944883350581,0.2633683235090266
alphaearth,250,0,44,-49.68757661241187,60.16472775336529,0.3838705731081677
conventional,250,0,44,-74.92041047241186,87.16868200640951,0.2035992075315516
alphaearth,500,0,42,-54.50179228823606,56.74691574154385,0.37423140280286865
conventional,500,0,42,-70.56147335083605,76.14204385305251,0.2431681670833656
alphaearth,500,0,43,-56.00020469519738,45.181145493112474,0.42752029745589126
conventional,500,0,43,-74.72894658119739,60.658156242326854,0.3073800764770429
alphaearth,500,0,44,-54.30243522714135,59.74690637799282,0.36255126221405265
conventional,500,0,44,-77.09350756114137,66.36223918613238,0.2887892705405387
alphaearth,1000,0,42,-56.80022506521062,62.226607376232096,0.34045061332568144
conventional,1000,0,42,-74.90721732551062,86.79152801338937,0.1856998699716192
alphaearth,1000,0,43,-54.40682103744683,47.31091144988605,0.42848272523216724
conventional,1000,0,43,-73.54264062044685,67.6481161552768,0.2837109665305386
alphaearth,1000,0,44,-54.572917316063595,81.42276603564926,0.24997496236604275
conventional,1000,0,44,-76.4532933020636,77.13037269333236,0.24418194164312368
alphaearth,2500,0,42,-54.92073352498205,67.3083001922226,0.3175394128068382
conventional,2500,0,42,-73.72558465150206,87.66178412848231,0.184522468526908
alphaearth,2500,0,43,-55.07509278680127,44.882130664599046,0.43843305595252213
conventional,2500,0,43,-72.47226705300127,70.80664809509318,0.26671853965741615
alphaearth,2500,0,44,-55.10244125754782,68.60521349140447,0.3106403496665222
conventional,2500,0,44,-76.22572903058783,72.16628990946187,0.2601716615706933
alphaearth,25,1,42,-50.17082558597901,123.64794298725955,0.01587588485886752
conventional,25,1,42,-70.20336206597901,74.09237108892857,0.26625065491375344
alphaearth,25,1,43,-81.21453684287842,56.94221124574888,0.35090951702936635
conventional,25,1,43,-81.59026052287841,19.228733298168287,0.5271650791838502
alphaearth,25,1,44,-44.32741164008301,20.041041752848376,0.6340636815057302
conventional,25,1,44,-38.171412640083005,171.55384250006546,-0.23553346824816035
alphaearth,50,1,42,-35.015828662728275,92.65551362855302,0.24117640360077808
conventional,50,1,42,-59.28925726272828,135.38302996466422,-0.01116658098765893
alphaearth,50,1,43,-75.91449550716065,32.2905164377492,0.4254372126331022
conventional,50,1,43,-92.45164554716067,10.254368273749478,0.49865995586306006
alphaearth,50,1,44,-54.003752639113756,25.75823815953791,0.5378134643358993
conventional,50,1,44,-52.551252239113765,86.12240642938433,0.1896249936108719
alphaearth,100,1,42,-50.661059672649536,59.6521375975243,0.36796119656260184
conventional,100,1,42,-71.12707413264953,94.55718547935754,0.15034365106766706
alphaearth,100,1,43,-60.246042524750976,53.894317428361035,0.3765048086181536
conventional,100,1,43,-87.122723204751,38.64484125971584,0.40094144406038335
alphaearth,100,1,44,-53.247668350664064,52.53207216701028,0.3944992262566981
conventional,100,1,44,-72.84663154066406,83.51828718614951,0.19522693052493104
alphaearth,250,1,42,-45.81093100011987,64.51953527829481,0.3771116891616641
conventional,250,1,42,-66.56266742411987,82.53377074712697,0.24652701197961824
alphaearth,250,1,43,-67.09066873862108,45.45942119312133,0.3813465072365303
conventional,250,1,43,-88.38940903462108,60.83929150839755,0.2657016512244556
alphaearth,250,1,44,-58.410656005734126,43.02755465886157,0.4309201154024384
conventional,250,1,44,-77.19345475373413,75.61361127725742,0.2244568066669307
alphaearth,500,1,42,-53.813654554675175,63.7869638389641,0.3350128142290183
conventional,500,1,42,-73.41308412867517,74.83559521226374,0.24534591917960383
alphaearth,500,1,43,-60.51671198502941,47.743103753714315,0.3968363687300235
conventional,500,1,43,-84.52522436702941,62.13197569356843,0.27930864335135885
alphaearth,500,1,44,-56.348244985576905,52.39072169564241,0.3931850454658703
conventional,500,1,44,-73.4401479195769,70.10624610772763,0.2686955936584502
alphaearth,1000,1,42,-56.05776646617212,64.89310967599417,0.32454773842799495
conventional,1000,1,42,-73.62669977617212,74.68144351283377,0.24577103622521942
alphaearth,1000,1,43,-56.55657532146209,52.78722676797243,0.38911827918093966
conventional,1000,1,43,-77.96456504746209,67.03411165424387,0.2764587614238721
alphaearth,1000,1,44,-60.41697681292615,54.30514433968576,0.35977095959387
