stage,representation,labels,R2,RMSE,MAE,Bias,evaluation_design,N_train,N_test,notes
source_spatial_cv,AlphaEarth,124303,0.5761031871412678,69.1130326318012,42.22568320849209,1.0797043120671825,USA 50-km block 5-fold spatial CV,60000.0,24860.6,Pooled nested out-of-fold estimate across five spatial outer folds; fold-level variability reported separately.
kaihua_zero_shot,AlphaEarth,0,-0.5556456255719371,109.7177861225485,84.5763198722335,55.68284560235628,Frozen USA model on all Kaihua common footprints,0.0,130195.0,Immutable zero-shot baseline; no Zhejiang adaptation
kaihua_fewshot_local,AlphaEarth,25,-0.1036692842739573,92.0755346128896,64.20915175566414,-1.4942796762268145,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,25.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,50,-0.0821414760167819,91.30531804950476,63.27764581092945,1.9996873688562773,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,50.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,100,-0.0311259409965393,89.08664707270977,61.12730409181495,2.995597688280663,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,100.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,250,0.037445753164483,86.14287618864581,58.04231391473821,1.31487919458957,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,250.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,500,0.0794871207027056,84.25895748623829,56.10284392474219,0.4557052000616172,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,500.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,1000,0.1106904004405505,82.83062162604298,54.72231755835836,0.4481886064258534,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,1000.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,AlphaEarth,2500,0.1305759806017158,81.90478967997043,53.65216693490394,0.0192503950784376,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,2500.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
source_spatial_cv,Conventional,124303,0.4251059611784339,80.4866361646239,53.47569217303464,1.0850747203940423,USA 50-km block 5-fold spatial CV,60000.0,24860.6,Pooled nested out-of-fold estimate across five spatial outer folds; fold-level variability reported separately.
kaihua_zero_shot,Conventional,0,-1.1165793171087626,127.97907703658508,100.40789331613313,73.59293833091361,Frozen USA model on all Kaihua common footprints,0.0,130195.0,Immutable zero-shot baseline; no Zhejiang adaptation
kaihua_fewshot_local,Conventional,25,-0.1699393005236212,94.8908824405713,66.75182709118364,-2.738928862109072,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,25.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,50,-0.142807528849421,93.8274847223873,65.3853414296947,1.192805173501561,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,50.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,100,-0.1076929106418782,92.35893193374008,63.98113487587849,2.178080799719888,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,100.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,250,-0.0368640468191481,89.40737338426861,61.03474964654177,-0.2772306743134833,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,250.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,500,0.0072745605392873,87.48724920962391,59.1531410849887,-0.369388160952047,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,500.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,1000,0.0394013657862859,86.07867848923335,57.905052346820746,0.1776993962969635,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,1000.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
kaihua_fewshot_local,Conventional,2500,0.0593680184307173,85.18546913078961,57.013943565100384,0.2077158281577948,Kaihua 5-km block 5-fold spatial holdout; 3 seeds,2500.0,26039.0,Mean across 15 fold-seed runs; fixed shared XGBoost
