representation,method,budget,runs,N_train,N_test_mean,R2_mean,R2_sd,R2_median,RMSE_mean,RMSE_sd,RMSE_median,MAE_mean,MAE_sd,MAE_median,Bias_mean,Bias_sd,Bias_median
alphaearth,zero_shot,0,1,0.0,130195.0,-0.5556456255719371,,-0.5556456255719371,109.7177861225485,,109.7177861225485,84.5763198722335,,84.5763198722335,55.68284560235628,,55.68284560235628
conventional,zero_shot,0,1,0.0,130195.0,-1.1165793171087626,,-1.1165793171087626,127.97907703658507,,127.97907703658507,100.40789331613311,,100.40789331613311,73.59293833091361,,73.59293833091361
alphaearth,affine,25,15,25.0,26039.0,-0.03840855743361878,0.17606433419548723,0.0021249255492974406,89.22959765306041,7.579010043889427,85.85283584217272,61.520776580683794,6.699779777711822,59.56729693560123,0.6366481060770719,12.332657783152031,-2.5110277198879873
alphaearth,affine,50,15,50.0,26039.0,0.01184795436416414,0.0383225767168028,0.023426129435809906,87.28531676680132,4.284729058796119,86.16018690380382,59.86426543418457,3.1824981247997886,59.71182821677124,2.601067697285092,13.519959827612672,-2.123226899242543
alphaearth,affine,100,15,100.0,26039.0,0.04008579355308588,0.02335813376280804,0.04549931344261371,86.04410374081795,4.170431066651242,84.70254237942449,58.842479117209926,2.5744506841773807,57.73979741284484,3.3889415114978547,9.329116177185012,0.3920832655594955
alphaearth,affine,250,15,250.0,26039.0,0.051982225985168745,0.01114400772964574,0.05545850049841228,85.53109822381832,4.454863413998875,84.43363425097019,57.947704632957354,1.7534044935549553,57.394825904572876,0.5154149585382545,5.65764142898722,1.00105827162035
alphaearth,affine,500,15,500.0,26039.0,0.05492017539121554,0.009016541038193042,0.05604300732613565,85.39555009686188,4.36225312362676,84.35067870136584,57.76147149559872,1.5544933336976845,57.41709897243477,0.050034452613164415,3.5176740574317433,0.5101544312021342
alphaearth,affine,1000,15,1000.0,26039.0,0.05559101733700348,0.009741355148455689,0.06176314310544173,85.36581271941026,4.378909224619756,84.28798247831561,57.82415163092954,1.5142049891546825,57.670877204551616,0.5798860943783143,3.206561431041352,0.6368632739112742
alphaearth,affine,2500,15,2500.0,26039.0,0.05637106609458436,0.0088538133349542,0.06165230980023462,85.32973164846135,4.3511682951618305,84.27242950656233,57.7480703570127,1.5966018994217672,57.764390433829476,0.26018969381380924,2.4694432954295578,-0.4660849217484131
alphaearth,bias_only,25,15,25.0,26039.0,-0.18975519638278573,0.04613700686896765,-0.17558510573349873,95.7551725186213,4.237000224034129,93.92226066140152,66.29260159626733,2.530099458763422,66.29401753286183,4.24280056520954,16.032118049084787,4.819695131993689
