representation,budget,fold,seed,N_train,N_test,R2,RMSE,MAE,Bias
dem,25,0,42,25,21343,-0.14726371012435857,93.32147220378651,62.605017636996884,-11.947685438084372
sentinel1_c,25,0,42,25,21343,-0.07154496462536808,90.18932844888998,61.31009225202308,2.0201688397015176
palsar_l,25,0,42,25,21343,-0.12631805293102438,92.46566041237817,61.90181905456888,-6.637417087727953
sentinel1_c_palsar_l,25,0,42,25,21343,-0.0750178435665545,90.33536209953299,60.98021632651165,0.1802223945318762
sentinel1_sentinel2,25,0,42,25,21343,-0.04046069963715526,88.87155795493165,58.837194820454826,-6.100314040052973
palsar_sentinel2,25,0,42,25,21343,-0.0746719843193353,90.32082939486334,59.51856840631937,-9.930815147025465
sentinel1_palsar_sentinel2,25,0,42,25,21343,-0.061671190116998176,89.7728410257556,59.012283887091044,-9.352770776763947
alphaearth,25,0,42,25,21343,-0.029495970097672908,88.40203830240212,57.93650151216574,-5.436229407686323
dem,25,0,43,25,21343,-0.14570336931010464,93.2579894818836,60.19255809132223,-25.91538644209196
sentinel1_c,25,0,43,25,21343,-0.12023588580991573,92.21566313590843,60.51171936195733,-21.410669841758857
palsar_l,25,0,43,25,21343,-0.12124593500534253,92.25722642261569,61.500848590163805,-12.463228254039512
sentinel1_c_palsar_l,25,0,43,25,21343,-0.08953080055492246,90.94309063524447,59.82250716006907,-17.551054376419422
sentinel1_sentinel2,25,0,43,25,21343,-0.05002806923729075,89.27922417339614,58.080219402342166,-17.177979866312203
palsar_sentinel2,25,0,43,25,21343,-0.03873143869288209,88.79767432680259,57.83399878995937,-13.927687078746025
sentinel1_palsar_sentinel2,25,0,43,25,21343,-0.04550271939157047,89.0866312413974,58.137987630829564,-15.564935407854579
alphaearth,25,0,43,25,21343,-0.07408939926187275,90.29634438938399,56.9611590012616,-31.41352923513278
dem,25,0,44,25,21343,-0.009304632374618649,87.53083804236601,59.49572868091588,-2.154455422519623
sentinel1_c,25,0,44,25,21343,-0.04508625507245645,89.06888614231623,60.47404872174585,-4.468167413843371
palsar_l,25,0,44,25,21343,-0.018765760772269324,87.94013409927372,59.24571575020279,-6.941861129952174
sentinel1_c_palsar_l,25,0,44,25,21343,-0.04894729109918039,89.23326546120482,60.514577798077525,-5.591878197375663
sentinel1_sentinel2,25,0,44,25,21343,-0.0060971660516735415,87.39164536863534,58.32527262287763,-6.722749327284051
palsar_sentinel2,25,0,44,25,21343,0.025958700887323438,85.98815663545159,57.441722006077086,-2.947852791282397
sentinel1_palsar_sentinel2,25,0,44,25,21343,0.0030232642066642113,86.99463401993856,57.95891565011647,-5.8460830002076
alphaearth,25,0,44,25,21343,0.04145754783388533,85.30129592499893,55.702345479020515,-9.462880643795012
dem,50,0,42,50,21343,-0.20052907430007205,95.46326731120624,66.78625325517055,3.5113212615542415
sentinel1_c,50,0,42,50,21343,-0.21077484350548792,95.8697616751622,67.49632332056794,10.479419907983692
palsar_l,50,0,42,50,21343,-0.1458580321676377,93.26428389490005,64.10693693218357,-1.7715204835927636
sentinel1_c_palsar_l,50,0,42,50,21343,-0.20668769229328565,95.70781354427501,67.66874550143456,13.021857529109342
sentinel1_sentinel2,50,0,42,50,21343,-0.1274705452988656,92.51295554405277,64.88275798226843,11.447073128933452
palsar_sentinel2,50,0,42,50,21343,-0.15817673748218186,93.76426899150626,65.02036543342433,0.02159557039343859
sentinel1_palsar_sentinel2,50,0,42,50,21343,-0.14813917994525805,93.35707193188887,64.73207529925229,3.583209819911009
alphaearth,50,0,42,50,21343,-0.03394280954187168,88.59275594182874,60.544751988863226,5.814096899020879
dem,50,0,43,50,21343,-0.12744055818443845,92.5117252613452,61.10075999416191,-23.150041005978252
sentinel1_c,50,0,43,50,21343,-0.06341461838333795,89.84652123311108,59.47617660527143,-12.836094613612223
palsar_l,50,0,43,50,21343,-0.08208076172325396,90.63163007666877,61.037837362485,-9.633882745174882
sentinel1_c_palsar_l,50,0,43,50,21343,-0.0768086314439973,90.41057208687181,61.16779458762899,-6.99930981849777
sentinel1_sentinel2,50,0,43,50,21343,-0.09461382425918141,91.15498367359498,61.00479990280759,-13.146726263391137
palsar_sentinel2,50,0,43,50,21343,-0.06936604763958831,90.09758471996048,59.360494734436,-15.244951593720709
sentinel1_palsar_sentinel2,50,0,43,50,21343,-0.04811040303397718,89.19766159592238,59.10561973888235,-11.635684769051927
alphaearth,50,0,43,50,21343,0.017873840936283858,86.34428401909625,55.04495142249046,-14.846314950173285
dem,50,0,44,50,21343,-0.030747776932879667,88.45576782623247,60.31507129817213,-2.5015631614840275
sentinel1_c,50,0,44,50,21343,-0.12175812488306836,92.27829576204896,63.802554997893544,-0.6916340424162801
