representation,model,config,split_type,fold,R2,RMSE,MAE,Bias,N
alphaearth,mean,train_mean,block_5fold,0,-0.00010200762683076903,108.00092385533868,84.64297350206492,1.0907410119919494,24700
alphaearth,ridge,ridge_alpha10,block_5fold,0,0.5761123342318822,70.31220389031093,44.99268889074069,0.3006728071271742,24700
alphaearth,mean,train_mean,block_5fold,1,-0.0004975578232815359,107.8429117642691,84.26116817681061,2.40494621704,24102
alphaearth,ridge,ridge_alpha10,block_5fold,1,0.5545653833045737,71.9574179848534,44.83926014119618,1.644818010106679,24102
alphaearth,mean,train_mean,block_5fold,2,-1.0303777310927131e-05,107.2064604053263,81.63873521314137,0.3441255764375851,25296
alphaearth,ridge,ridge_alpha10,block_5fold,2,0.521084466227942,74.19048014675215,43.962462481749895,-0.049517066812344565,25296
alphaearth,mean,train_mean,block_5fold,3,-0.0011612900368962453,105.547648242042,82.15779217554046,-3.5947350519685304,25081
alphaearth,ridge,ridge_alpha10,block_5fold,3,0.5751362058541118,68.75770905966812,43.58987888102512,-1.2321605851249338,25081
alphaearth,mean,train_mean,block_5fold,4,-2.5620198298437202e-06,102.17917479324129,81.38560859947428,-0.16355095261637442,25124
alphaearth,ridge,ridge_alpha10,block_5fold,4,0.603592946136346,64.33281002743507,43.27575066471145,-0.011714284959719577,25124
alphaearth,random_forest,rf_half,block_5fold,0,0.589789562891466,69.16855039325404,42.56794343773219,0.6597475184290869,24700
alphaearth,random_forest,rf_half,block_5fold,1,0.5688150942276471,70.79708290588638,42.2413927348724,2.239658655700127,24102
alphaearth,random_forest,rf_half,block_5fold,2,0.538358568109665,72.84019664862376,41.647067061287885,1.0653167896557516,25296
alphaearth,random_forest,rf_half,block_5fold,3,0.5848185626810373,67.96972306387586,41.90113710845041,-0.1435875360995723,25081
alphaearth,random_forest,rf_half,block_5fold,4,0.6140226462922973,63.48085197068812,41.67920883388581,1.393293131310415,25124
alphaearth,random_forest,rf_half,random_80_20,0,0.5653175717528482,70.67400719507107,41.228249753565926,0.9337796103107917,24861
alphaearth,xgboost,xgb_depth6,block_5fold,0,0.591724010727875,69.00526704069524,42.00705227843492,0.3835555713509404,24700
alphaearth,xgboost,xgb_depth6,block_5fold,1,0.5674017245854546,70.9130199232728,41.87206868492763,0.44811606410869226,24102
alphaearth,xgboost,xgb_depth6,block_5fold,2,0.5394895045029406,72.75091941094053,41.07760189636642,0.03600211730121585,25296
alphaearth,xgboost,xgb_depth6,block_5fold,3,0.5902948909817144,67.51996775662202,41.21356955089544,-0.45787758361090036,25081
alphaearth,xgboost,xgb_depth6,block_5fold,4,0.6160561209355347,63.3134105776825,41.14708161255632,1.1238062374213253,25124
alphaearth,xgboost,xgb_depth6,random_80_20,0,0.5704175509469349,70.25818703722096,40.58116515905808,0.23741209455555445,24861
conventional,mean,train_mean,block_5fold,0,-0.00010200762683076903,108.00092385533868,84.64297350206492,1.0907410119919494,24700
conventional,ridge,ridge_alpha10,block_5fold,0,0.38862559309541045,84.44208501817403,59.04469086323649,-1.0152153440669,24700
conventional,mean,train_mean,block_5fold,1,-0.0004975578232815359,107.8429117642691,84.26116817681061,2.40494621704,24102
conventional,ridge,ridge_alpha10,block_5fold,1,0.36289954562220017,86.05726633011314,59.310908040666966,3.857188070579343,24102
conventional,mean,train_mean,block_5fold,2,-1.0303777310927131e-05,107.2064604053263,81.63873521314137,0.3441255764375851,25296
conventional,ridge,ridge_alpha10,block_5fold,2,0.33236169349449174,87.59702228874814,59.040194538056205,3.08205595627669,25296
conventional,mean,train_mean,block_5fold,3,-0.0011612900368962453,105.547648242042,82.15779217554046,-3.5947350519685304,25081
conventional,ridge,ridge_alpha10,block_5fold,3,0.35997245076310913,84.39094895608363,58.29649149796656,-5.497832660287983,25081
conventional,mean,train_mean,block_5fold,4,-2.5620198298437202e-06,102.17917479324129,81.38560859947428,-0.16355095261637442,25124
conventional,ridge,ridge_alpha10,block_5fold,4,0.3851422270413498,80.12151791598787,58.61292452500262,-0.10000100832605234,25124
conventional,random_forest,rf_half,block_5fold,0,0.45049926721575273,80.05518379380152,53.23923438671666,0.6029908740389236,24700
conventional,random_forest,rf_half,block_5fold,1,0.43451885529487455,81.07606330617631,53.17851185680419,3.86344521634916,24102
conventional,random_forest,rf_half,block_5fold,2,0.3859310508236532,84.00928503803462,53.619344398437875,2.2709633273521295,25296
conventional,random_forest,rf_half,block_5fold,3,0.429019677236127,79.70895349637648,53.04521002221315,-1.248048910033708,25081
conventional,random_forest,rf_half,block_5fold,4,0.45135761065336855,75.6844247217036,52.97651105263693,0.20178642277626413,25124
conventional,random_forest,rf_half,random_80_20,0,0.42821971644763834,81.05657743856499,52.10059352974952,1.1671731884678886,24861
conventional,xgboost,xgb_depth6,block_5fold,0,0.45025966411595497,80.07263543539337,52.92375091031079,-0.6289649593697875,24700
conventional,xgboost,xgb_depth6,block_5fold,1,0.4361735082801306,80.95735817224893,52.71793234328297,2.1489105892691125,24102
conventional,xgboost,xgb_depth6,block_5fold,2,0.3912595448319254,83.64400171114067,52.84991484067239,-0.14294658333679752,25296
conventional,xgboost,xgb_depth6,block_5fold,3,0.43379005901280054,79.37528203394916,52.455236871294495,-1.893683283322924,25081
conventional,xgboost,xgb_depth6,block_5fold,4,0.4564353702751317,75.33337578144472,52.56871867402214,0.458053197000259,25124
conventional,xgboost,xgb_depth6,random_80_20,0,0.4304615012527343,80.89752170654486,51.76943056340352,0.4028797618132189,24861
